user,month,income,expenses,week,weekly_value,category,category_value,ai_insight
1,2025-06,51567,18706,W1,4212,,,You're overspending on Food this month.
1,2025-06,51567,18706,W2,6052,,,You're overspending on Food this month.
1,2025-06,51567,18706,W3,5179,,,You're overspending on Food this month.
1,2025-06,51567,18706,W4,5832,,,You're overspending on Food this month.
1,2025-06,51567,18706,,,Food,3766,You're overspending on Food this month.
1,2025-06,51567,18706,,,Travel,7919,You're overspending on Food this month.
1,2025-06,51567,18706,,,Bills,1110,You're overspending on Food this month.
1,2025-06,51567,18706,,,Shopping,4339,You're overspending on Food this month.
1,2025-06,51567,18706,,,Entertainment,6984,You're overspending on Food this month.
1,2025-06,51567,18706,,,Misc,4832,You're overspending on Food this month.
1,2025-07,50451,24781,W1,5598,,,Travel costs increased by 12% this month.
1,2025-07,50451,24781,W2,6477,,,Travel costs increased by 12% this month.
1,2025-07,50451,24781,W3,4692,,,Travel costs increased by 12% this month.
1,2025-07,50451,24781,W4,4810,,,Travel costs increased by 12% this month.
1,2025-07,50451,24781,,,Food,4622,Travel costs increased by 12% this month.
1,2025-07,50451,24781,,,Travel,4807,Travel costs increased by 12% this month.
1,2025-07,50451,24781,,,Bills,6991,Travel costs increased by 12% this month.
1,2025-07,50451,24781,,,Shopping,6472,Travel costs increased by 12% this month.
1,2025-07,50451,24781,,,Entertainment,5456,Travel costs increased by 12% this month.
1,2025-07,50451,24781,,,Misc,2088,Travel costs increased by 12% this month.
1,2025-08,49578,19333,W1,4971,,,Bills are unusually high this month.
1,2025-08,49578,19333,W2,4124,,,Bills are unusually high this month.
1,2025-08,49578,19333,W3,4453,,,Bills are unusually high this month.
1,2025-08,49578,19333,W4,5975,,,Bills are unusually high this month.
1,2025-08,49578,19333,,,Food,7845,Bills are unusually high this month.
1,2025-08,49578,19333,,,Travel,5509,Bills are unusually high this month.
1,2025-08,49578,19333,,,Bills,2013,Bills are unusually high this month.
1,2025-08,49578,19333,,,Shopping,4242,Bills are unusually high this month.
1,2025-08,49578,19333,,,Entertainment,5976,Bills are unusually high this month.
1,2025-08,49578,19333,,,Misc,7601,Bills are unusually high this month.
1,2025-09,48810,19044,W1,4393,,,Entertainment spending increased 18%.
1,2025-09,48810,19044,W2,4880,,,Entertainment spending increased 18%.
1,2025-09,48810,19044,W3,6881,,,Entertainment spending increased 18%.
1,2025-09,48810,19044,W4,5063,,,Entertainment spending increased 18%.
1,2025-09,48810,19044,,,Food,3043,Entertainment spending increased 18%.
1,2025-09,48810,19044,,,Travel,1075,Entertainment spending increased 18%.
1,2025-09,48810,19044,,,Bills,2734,Entertainment spending increased 18%.
1,2025-09,48810,19044,,,Shopping,3554,Entertainment spending increased 18%.
1,2025-09,48810,19044,,,Entertainment,5659,Entertainment spending increased 18%.
1,2025-09,48810,19044,,,Misc,3798,Entertainment spending increased 18%.
1,2025-10,49519,24857,W1,4073,,,Travel spending is stable.
1,2025-10,49519,24857,W2,4157,,,Travel spending is stable.
1,2025-10,49519,24857,W3,4249,,,Travel spending is stable.
1,2025-10,49519,24857,W4,6233,,,Travel spending is stable.
1,2025-10,49519,24857,,,Food,6229,Travel spending is stable.
1,2025-10,49519,24857,,,Travel,6845,Travel spending is stable.
1,2025-10,49519,24857,,,Bills,6247,Travel spending is stable.
1,2025-10,49519,24857,,,Shopping,3947,Travel spending is stable.
1,2025-10,49519,24857,,,Entertainment,2091,Travel spending is stable.
1,2025-10,49519,24857,,,Misc,1484,Travel spending is stable.
1,2025-11,45472,20522,W1,4228,,,Good job! Your spending is controlled.
1,2025-11,45472,20522,W2,4730,,,Good job! Your spending is controlled.
1,2025-11,45472,20522,W3,6568,,,Good job! Your spending is controlled.
1,2025-11,45472,20522,W4,4858,,,Good job! Your spending is controlled.
1,2025-11,45472,20522,,,Food,6003,Good job! Your spending is controlled.
1,2025-11,45472,20522,,,Travel,1902,Good job! Your spending is controlled.
1,2025-11,45472,20522,,,Bills,1463,Good job! Your spending is controlled.
1,2025-11,45472,20522,,,Shopping,2234,Good job! Your spending is controlled.
1,2025-11,45472,20522,,,Entertainment,1963,Good job! Your spending is controlled.
1,2025-11,45472,20522,,,Misc,7307,Good job! Your spending is controlled.
2,2025-06,49693,23628,W1,4476,,,You're overspending on Food this month.
2,2025-06,49693,23628,W2,6476,,,You're overspending on Food this month.
2,2025-06,49693,23628,W3,4485,,,You're overspending on Food this month.
2,2025-06,49693,23628,W4,4430,,,You're overspending on Food this month.
2,2025-06,49693,23628,,,Food,6024,You're overspending on Food this month.
2,2025-06,49693,23628,,,Travel,7716,You're overspending on Food this month.
2,2025-06,49693,23628,,,Bills,7571,You're overspending on Food this month.
